,id,line,class_value,path,testName,verdict,contents,class_name
0,0,0,1,0,0,0,"1,23 @@",build_status
1,0,0,1,0,0,0,"This plugin downloads/installs Node and NPM locally for your project, runs NPM install, Grunt and/or Karma.",build_status
2,0,0,1,0,0,0,"It's supposed to work on Windows, OS X and Linux.",build_status
3,0,0,1,0,0,0,nan,build_status
4,0,0,1,0,0,0,# Installing,build_status
5,0,0,1,0,0,0,Include the plugin as a dependency in your Maven project.,build_status
6,0,0,1,0,0,0,`<plugins>,build_status
7,0,0,1,0,0,0,  <plugin>,build_status
8,0,0,1,0,0,0,    <groupId>com.github.eirslett</groupId>,build_status
9,0,0,1,0,0,0,    <artifactId>frontend-maven-plugin</artifactId>,build_status
10,0,0,1,0,0,0,    <version>0.0.2-SNAPSHOT</version>,build_status
11,0,0,1,0,0,0,  </plugin>,build_status
12,0,0,1,0,0,0,  ...`,build_status
13,0,0,1,0,0,0,"Have a look at the example project, to see how it should be set up!",build_status
14,0,0,1,0,0,0,"## Issues, Contributing",build_status
15,0,0,1,0,0,0,Please post any issues on the Github's Issue tracker. Pull requests are welcome!,build_status
16,0,0,1,0,0,0,Apache 2.0,build_status
17,0,0,1,0,0,0,++ b/frontend-maven-plugin/src/main/java/com/github/eirslett/maven/plugins/frontend/Utils.java,build_status
18,0,0,1,0,0,0,"47,10 @@ final class Utils {",build_status
19,0,1,1,0,0,0,"= line + ""\n"";",build_status
20,0,0,1,0,0,0,                    log.info(line);,build_status
21,0,0,1,0,0,0,++ b/README.md,build_status
22,0,0,1,0,0,0,"1,18 @@",build_status
23,0,0,1,0,0,0,[![Build Status](https://travis-ci.org/eirslett/frontend-maven-plugin.png?branch=master)](https://travis-ci.org/eirslett/frontend-maven-plugin),build_status
24,0,0,1,0,0,0,```<plugins>,build_status
25,0,0,1,0,0,0,    <version>0.0.2</version>,build_status
26,0,0,1,0,0,0,```,build_status
27,0,0,1,0,0,0,"22,4 @@ mvn clean install",build_status
28,0,0,1,0,0,0,"10,7 @@ Include the plugin as a dependency in your Maven project.",build_status
29,0,0,1,0,0,0,    <version>0.0.3</version>,build_status
30,0,0,1,0,0,0,"4,19 @@",build_status
31,0,0,1,0,0,0,#### What is this plugin meant to do?,build_status
32,0,0,1,0,0,0,"- Let you keep your frontend and backend builds as separate as possible, by",build_status
33,0,0,1,0,0,0,reducing the amount of interaction between them to the bare minimum; using only 1 plugin.,build_status
34,0,0,1,0,0,0,- Let you use Node.js and its libraries in your build process without installing Node/NPM,build_status
35,0,0,1,0,0,0,globally for your build system,build_status
36,0,0,1,0,0,0,- Let you ensure that the version of Node and NPM being run is the same in every build environment,build_status
37,0,0,1,0,0,0,#### What is this plugin not meant to do?,build_status
38,0,0,1,0,0,0,- Not meant to replace the developer version of Node - frontend developers will still install Node on their,build_status
39,0,0,1,0,0,0,"laptops, but backend developers can run a clean build without even installing Node on their computer.",build_status
40,0,0,1,0,0,0,"- Not meant to install Node for production uses. The Node usage is intended as part of a frontend build,",build_status
41,0,0,1,0,0,0,"running common javascript tasks such as minification, obfuscation, compression, packaging, testing etc.",build_status
42,0,0,1,0,0,0,++ b/frontend-maven-plugin/src/main/java/com/github/eirslett/maven/plugins/frontend/InstallNodeAndNpmMojo.java,build_status
43,0,0,1,0,0,0,"10,21 @@ import org.apache.maven.plugins.annotations.Parameter;",build_status
44,0,0,1,0,0,0,    /**,build_status
45,0,0,1,0,0,0,"     * The version of Node.js to install. IMPORTANT! Most Node.js version names start with 'v', for example 'v0.10.18'",build_status
46,0,0,1,0,0,0,     */,build_status
47,0,0,1,0,0,0,    @Parameter(required = true),build_status
48,0,0,1,0,0,0,     * The version of NPM to install.,build_status
49,0,0,1,0,0,0,     * The base directory for running all Node commands. (Usually the directory that contains package.json),build_status
50,0,0,1,0,0,0,++ b/frontend-maven-plugin/src/main/java/com/github/eirslett/maven/plugins/frontend/KarmaRunMojo.java,build_status
51,0,0,1,0,0,0,"19,9 @@ public final class KarmaRunMojo extends AbstractMojo {",build_status
52,0,0,1,1,0,0,"     * Path to your karma configuration file, relative to the working directory (defaults to ""karma.conf.js"")",build_status
53,0,0,1,0,0,0,"1,7 @@",build_status
54,0,0,1,0,0,0,import java.util.Map;,build_status
55,0,0,1,0,0,0,"26,9 @@ public final class KarmaRunMojo extends AbstractMojo {",build_status
56,0,0,1,0,0,0,"    @Parameter(property = ""skipTests"", required = false, defaultValue = ""false"")",build_status
57,0,0,1,0,0,0,    private Boolean skipTests;,build_status
58,0,0,1,0,0,0,"43,15 @@ public final class KarmaRunMojo extends AbstractMojo {",build_status
59,0,0,1,0,0,0, workingDirectory.toString());,build_status
60,0,0,1,0,0,0,"""/node_modules/karma/bin/karma"".replace(""/"", File.separator);",build_status
61,0,0,1,0,0,0,File.separator+karmaConfPath);,build_status
62,0,0,1,0,0,0,        if(skipTests){,build_status
63,0,0,1,0,0,0,"            logger.info(""Skipping karma tests."");",build_status
64,0,0,1,0,0,0,        } else {,build_status
65,0,0,1,0,0,0,"            logger.info(""Running karma in "" + workingDirectory.toString());",build_status
66,0,0,1,0,0,0,"            final String karmaPath = workingDirectory+""/node_modules/karma/bin/karma"".replace(""/"", File.separator);",build_status
67,0,0,1,0,0,1,"            int result = new NodeExecutor(workingDirectory, getLog()).execute(karmaPath, ""start"", workingDirectory+File.separator+karmaConfPath);",build_status
68,0,0,1,0,0,0,            if(result != 0){,build_status
69,0,0,1,0,0,0,"                throw new MojoFailureException(""Karma run failed."");",build_status
70,0,0,1,0,0,0,            },build_status
71,0,0,1,0,0,0,"9,7 @@ import java.nio.file.Files;",build_status
72,0,0,1,0,0,0,import java.util.Locale;,build_status
73,0,0,1,0,0,0,"54,7 @@ final class Utils {",build_status
74,0,0,1,0,0,0,                log.error(e);,build_status
75,0,0,1,0,0,0,"126,11 @@ final class Utils {",build_status
76,0,0,1,0,0,0, commandList.toString());,build_status
77,0,0,1,0,0,0,"        return System.getProperty(""os.name"").toLowerCase(Locale.ENGLISH).contains(""windows"");",build_status
78,0,0,1,0,0,0,"23,7 @@ Include the plugin as a dependency in your Maven project.",build_status
79,0,0,1,0,0,0,    <version>0.0.4</version>,build_status
80,0,0,1,0,0,0,++ b/.gitignore,build_status
81,0,0,1,0,0,0,"1,3 @@",build_status
82,0,0,1,0,0,0,target,build_status
83,0,0,1,0,0,0,"17,16 @@ laptops, but backend developers can run a clean build without even installing No",build_status
84,0,0,1,0,0,0,## Show me an example!,build_status
85,0,0,1,0,0,0,[Here is an example for you!](https://github.com/eirslett/frontend-maven-plugin/tree/master/src/it/example),build_status
86,0,0,1,0,0,0,    <version>0.0.5</version>,build_status
87,0,0,1,0,0,0,++ b/.travis.yml,build_status
88,0,0,1,0,0,0,"1,2 @@",build_status
89,0,0,1,0,0,0,language: java,build_status
90,0,0,1,0,0,0,install: mvn clean install,build_status
91,0,0,1,0,0,0,script: mvn clean install,build_status
92,0,0,1,0,0,0,"26,7 @@ Include the plugin as a dependency in your Maven project.",build_status
93,0,0,1,0,0,0,    <version>0.0.6</version>,build_status
